Latin.name,Species,SPPcode,Category,Duration,Growth_Habit,Family,Soil,Height.cm,SLA,LWC,CN,wood_density,Seed mass,DispersalSyndrome,Wind,Unassisted,Adhesive,Animal,Ant,Water,Tumbling,Bird,Mammal,Ballistic
agoseris_heterophylla,agoseris_heterophylla,AGOHET,Dicot,Annual,Forb/herb,asteraceae,s,12.5,342.6,0.8204,38.2,,0.73,Wind,1,0,0,0,0,0,0,0,0,0
agrostis_pallens,agrostis_pallens,AGRPAL,Monocot,Perennial,Graminoid,poaceae,s,81.8,243.4,0.5554,22.4,,,TumblingWind,1,0,0,0,0,0,1,0,0,0
aira_caryophyllea,aira_caryophyllea,AIRCAR,Monocot,Annual,Graminoid,poaceae,n,19.4,183.7,0.4375,43.1,,0.14,Adhesive,0,0,1,0,0,0,0,0,0,0
aira_caryophyllea,aira_caryophyllea,AIRCAR,Monocot,Annual,Graminoid,poaceae,s,18.2,309.3,0.7579,77.4,,0.14,Adhesive,0,0,1,0,0,0,0,0,0,0
allium_amplectens,allium_amplectens,ALLALN,Monocot,Perennial,Forb/herb,liliaceae,s,25,103.3,0.7724,,,2.5,Unassisted,0,1,0,0,0,0,0,0,0,0
allium_falcifolium,allium_falcifolium,ALLFAL,Monocot,Perennial,Forb/herb,liliaceae,s,4.4,117.4,0.8804,15,,3.24,Unassisted,0,1,0,0,0,0,0,0,0,0
allium_fimbriatum,allium_fimbriatum,ALLFIM,Monocot,Perennial,Forb/herb,liliaceae,s,15.9,101.3,0.8312,15.6,,,Unassisted,0,1,0,0,0,0,0,0,0,0
allium_serra,allium_serra,ALLSER,Monocot,Perennial,Forb/herb,liliaceae,n,25.5,99.7,0.8472,34.4,,3,Unassisted,0,1,0,0,0,0,0,0,0,0
alnus_rhombifolia,alnus_rhombifolia,ALNRHO,Dicot,Perennial,Tree,betulaceae,n,1035,180,0.6277,23.1,0.55,0.74,WindWater,1,0,0,0,0,1,0,0,0,0
alnus_rubra,alnus_rubra,ALNRUB,Dicot,Perennial,Tree,betulaceae,n,1030,145.9,0.6478,19.8,0.48,1.1,WindWater,1,0,0,0,0,1,0,0,0,0
amelanchier_alnifolia_ssp_semiintegrifolia,amelanchier_alnifolia,AMEALN,Dicot,Perennial,"Tree, Shrub",rosaceae,s,83.1,110.7,0.5502,24.7,0.73,,BirdMammal,0,0,0,0,0,0,0,1,1,0
amelanchier_alnifolia_ssp_semiintegrifolia,amelanchier_alnifolia,AMEALN,Dicot,Perennial,"Tree, Shrub",rosaceae,n,149.6,228.2,0.6264,18.4,0.71,,BirdMammal,0,0,0,0,0,0,0,1,1,0
amelanchier_utahensis,amelanchier_utahensis,AMEUTA,Dicot,Perennial,"Tree, Shrub",rosaceae,s,44.4,145.8,0.5925,22.1,0.62,85.36,BirdMammal,0,0,0,0,0,0,0,1,1,0
amsinckia_menziesii,amsinckia_menziesii,AMSMEN,Dicot,Annual,Forb/herb,boraginaceae,n,46.2,180.1,0.7744,13.6,,1.61,AdhesiveUnassisted,0,1,1,0,0,0,0,0,0,0
amsinckia_menziesii,amsinckia_menziesii,AMSMEN,Dicot,Annual,Forb/herb,boraginaceae,s,15.9,188.5,0.8431,14.6,,1.61,AdhesiveUnassisted,0,1,1,0,0,0,0,0,0,0
anagallis_arvensis,anagallis_arvensis,ANAARV,Dicot,"Annual, Biennial",Forb/herb,primulaceae,n,11,316.7,0.8344,21.9,,0.5,TumblingUnassistedAdhesive,0,1,1,0,0,0,1,0,0,0
anagallis_arvensis,anagallis_arvensis,ANAARV,Dicot,"Annual, Biennial",Forb/herb,primulaceae,s,10.1,391,0.857,21.1,,0.5,TumblingUnassistedAdhesive,0,1,1,0,0,0,1,0,0,0
ancistrocarphus_filagineus,ancistrocarphus_filagineus,ANCFIL,Dicot,Annual,Forb/herb,asteraceae,n,4.4,277.2,0.788,24.3,,,No_Data,,,,,,,,,,
ancistrocarphus_filagineus,ancistrocarphus_filagineus,ANCFIL,Dicot,Annual,Forb/herb,asteraceae,s,2.4,172.9,0.198,41.5,,,No_Data,,,,,,,,,,
anemone_deltoidea,anemone_deltoidea,ANEDEL,Dicot,Perennial,Forb/herb,ranunculaceae,n,9.9,379.2,0.8802,17.7,,3.98,Ant,0,0,0,0,1,0,0,0,0,0
anemone_lyallii,anemone_lyallii,ANELYA,Dicot,Perennial,Forb/herb,ranunculaceae,n,3.9,339.8,0.8684,17.6,,,Ant,0,0,0,0,1,0,0,0,0,0
angelica_arguta,angelica_arguta,ANGARG,Dicot,Perennial,Forb/herb,apiaceae,n,35.1,259,0.8783,9.8,,3.6,Wind,1,0,0,0,0,0,0,0,0,0
angelica_arguta,angelica_arguta,ANGARG,Dicot,Perennial,Forb/herb,apiaceae,s,1.5,130.5,0.809,13.3,,3.6,Wind,1,0,0,0,0,0,0,0,0,0
antennaria_suffrutescens,antennaria_suffrutescens,ANTSUF,Dicot,Perennial,"Subshrub, Forb/herb",asteraceae,s,8,75,0.5864,57.2,,,Wind,1,0,0,0,0,0,0,0,0,0
anthriscus_angustifolium,anthriscus_angustifolium,ANTANG,Dicot,,Forb/herb,apiaceae,n,60.9,262,0.8671,9.1,,,No_Data,,,,,,,,,,
anthriscus_caucalis,anthriscus_caucalis,ANTCAU,Dicot,Annual,Forb/herb,apiaceae,n,54.8,398.5,0.878,9.7,,1.17,Unassisted,0,1,0,0,0,0,0,0,0,0
antirrhinum_vexillo_calyculatum,antirrhinum_vexillo_calyculatum,ANTVEX,Dicot,,Forb/herb,scrophulariaceae,n,29.3,181.4,0.8186,,,,No_Data,,,,,,,,,,
antirrhinum_vexillo_calyculatum,antirrhinum_vexillo_calyculatum,ANTVEX,Dicot,,Forb/herb,scrophulariaceae,s,60.7,171.7,0.8484,,,,No_Data,,,,,,,,,,
aphanes_occidentalis,aphanes_occidentalis,APHOCC,Dicot,Annual,Forb/herb,rosaceae,n,3.7,308.2,0.6964,25.8,,0.09,No_Data,,,,,,,,,,
aphanes_occidentalis,aphanes_occidentalis,APHOCC,Dicot,Annual,Forb/herb,rosaceae,s,5.7,503.5,0.7738,46.8,,0.09,No_Data,,,,,,,,,,
apiastrum_angustifolium,apiastrum_angustifolium,APIANG,Dicot,Annual,Forb/herb,apiaceae,n,17.4,447.3,0.7791,58,,0.29,Unassisted,0,1,0,0,0,0,0,0,0,0
apocynum_androsaemifolium,apocynum_androsaemifolium,APOAND,Dicot,Perennial,Forb/herb,apocynaceae,n,10.2,194.1,0.7047,14.4,,0.29,Wind,1,0,0,0,0,0,0,0,0,0
aquilegia_formosa,aquilegia_formosa,AQUFOR,Dicot,Perennial,Forb/herb,ranunculaceae,n,69.7,411.4,0.7867,14.2,,1.22,No_Data,,,,,,,,,,
arabis_aculeolata,arabis_aculeolata,ARAACU,Dicot,Perennial,Forb/herb,brassicaceae,s,18.9,154.9,0.8288,24.3,,,Wind,1,0,0,0,0,0,0,0,0,0
aralia_californica,aralia_californica,ARACAL,Dicot,Perennial,Forb/herb,araliaceae,n,193.8,236.7,0.8463,15.3,,2.58,BirdUnassisted,0,1,0,0,0,0,0,1,0,0
arbutus_menziesii,arbutus_menziesii,ARBMEN,Dicot,Perennial,Tree,ericaceae,s,790,87.2,0.6481,40,0.54,97.4,BirdUnassisted,0,1,0,0,0,0,0,1,0,0
arbutus_menziesii,arbutus_menziesii,ARBMEN,Dicot,Perennial,Tree,ericaceae,n,2.1,69,0.557,38.3,0.53,97.4,BirdUnassisted,0,1,0,0,0,0,0,1,0,0
arctostaphylos_bakeri_ssp_sublaevis,arctostaphylos_bakeri,ARCBAK,Dicot,Perennial,Shrub,ericaceae,s,142.5,39.9,0.5107,70.8,0.65,,No_Data,,,,,,,,,,
arctostaphylos_canescens_ssp_canescens,arctostaphylos_canescens,ARCCANC,Dicot,Perennial,Shrub,ericaceae,n,16.7,41.1,0.5068,55.7,0.63,,No_Data,,,,,,,,,,
arctostaphylos_canescens_ssp_canescens,arctostaphylos_canescens,ARCCANC,Dicot,Perennial,Shrub,ericaceae,s,89.8,50.3,0.5374,59,0.55,,No_Data,,,,,,,,,,
arctostaphylos_columbiana,arctostaphylos_columbiana,ARCCOL,Dicot,Perennial,"Tree, Shrub",ericaceae,n,207,72,0.5625,48.7,0.6,15.43,UnassistedMammal,0,1,0,0,0,0,0,0,1,0
arctostaphylos_glandulosus,arctostaphylos_glandulosus,ARCGLAN,Dicot,Perennial,shrub,ericaceae,s,132.5,34.3,0.5298,,0.74,,No_Data,,,,,,,,,,
arctostaphylos_glandulosus,arctostaphylos_glandulosus,ARCGLAN,Dicot,Perennial,shrub,ericaceae,n,152.4,32.1,0.4598,81.1,0.64,,No_Data,,,,,,,,,,
arctostaphylos_glauca,arctostaphylos_glauca,ARCGLAU,Dicot,Perennial,"Tree, Shrub",ericaceae,n,225,52.9,0.5611,56.8,0.75,113.5,No_Data,,,,,,,,,,
arctostaphylos_glauca,arctostaphylos_glauca,ARCGLAU,Dicot,Perennial,"Tree, Shrub",ericaceae,s,202,35.4,0.5153,71.1,0.69,113.5,No_Data,,,,,,,,,,
arctostaphylos_hispidula,arctostaphylos_hispidula,ARCHIS,Dicot,Perennial,Shrub,ericaceae,s,89.9,44,0.4487,64.8,0.62,,No_Data,,,,,,,,,,
arctostaphylos_hookeri_ssp_montana,arctostaphylos_hookeri,ARCHOO,Dicot,Perennial,"Subshrub, Shrub",ericaceae,s,42.6,34.3,0.4516,85.9,1.28,,No_Data,,,,,,,,,,
arctostaphylos_klamathensis,arctostaphylos_klamathensis,ARCKLA,Dicot,Perennial,"Subshrub, Shrub",ericaceae,s,27.4,66,0.5456,44.2,0.73,,No_Data,,,,,,,,,,
arctostaphylos_manzanita_var_manzanita,arctostaphylos_manzanita,ARCMAN,Dicot,Perennial,Shrub,ericaceae,s,114.8,47.8,0.531,63,0.79,,No_Data,,,,,,,,,,
arctostaphylos_manzanita_var_manzanita,arctostaphylos_manzanita,ARCMAN,Dicot,Perennial,Shrub,ericaceae,n,231.5,29.9,0.4785,74.9,0.77,,No_Data,,,,,,,,,,
arctostaphylos_nevadensis,arctostaphylos_nevadensis,ARCNEV,Dicot,Perennial,"Subshrub, Shrub",ericaceae,s,11.3,47.2,0.537,68.5,0.57,10.92,UnassistedMammal,0,1,0,0,0,0,0,0,1,0
arctostaphylos_nortensis,arctostaphylos_nortensis,ARCNOR,Dicot,Perennial,"Tree, Shrub",ericaceae,s,298.3,60.6,0.4974,59.9,0.59,,No_Data,,,,,,,,,,
arctostaphylos_obispoensis,arctostaphylos_obispoensis,ARCOBI,Dicot,Perennial,Shrub,ericaceae,s,257,41,0.4842,69.7,0.62,23.88,No_Data,,,,,,,,,,
arctostaphylos_patula,arctostaphylos_patula,ARCPAT,Dicot,Perennial,Shrub,ericaceae,n,95.2,51.2,0.578,41.5,0.91,43.3,UnassistedMammal,0,1,0,0,0,0,0,0,1,0
arctostaphylos_patula,arctostaphylos_patula,ARCPAT,Dicot,Perennial,Shrub,ericaceae,s,128.6,36.4,0.5446,51.9,0.73,43.3,UnassistedMammal,0,1,0,0,0,0,0,0,1,0
arctostaphylos_stanfordiana,arctostaphylos_stanfordiana,ARCSTA,Dicot,Perennial,Shrub,ericaceae,n,130,53.4,0.5508,57.7,0.57,18.01,UnassistedMammal,0,1,0,0,0,0,0,0,1,0
arctostaphylos_viscida,arctostaphylos_viscida,ARCVIS,Dicot,Perennial,"Tree, Shrub",ericaceae,s,183.2,32.2,0.4683,57.8,0.66,14.17,UnassistedMammal,0,1,0,0,0,0,0,0,1,0
arctostaphylos_viscida,arctostaphylos_viscida,ARCVIS,Dicot,Perennial,"Tree, Shrub",ericaceae,n,160.4,48.1,0.5881,69.1,0.65,14.17,UnassistedMammal,0,1,0,0,0,0,0,0,1,0
arnica_cernua,arnica_cernua,ARNCER,Dicot,Perennial,Forb/herb,asteraceae,s,17.2,126.8,0.8454,18.9,,,Wind,1,0,0,0,0,0,0,0,0,0
arnica_cordifolia,arnica_cordifolia,ARNCOR,Dicot,Perennial,Forb/herb,asteraceae,n,22,396.3,0.8547,19.5,,1.19,Wind,1,0,0,0,0,0,0,0,0,0
arnica_spathulata,arnica_spathulata,ARNSPA,Dicot,Perennial,Forb/herb,asteraceae,s,19.9,116.6,0.8373,37.3,,,Wind,1,0,0,0,0,0,0,0,0,0
artemisia_californica,artemisia_californica,ARTCAL,Dicot,Perennial,Shrub,asteraceae,n,88.9,97,0.5936,44.8,0.68,0.06,No_Data,,,,,,,,,,
artemisia_californica,artemisia_californica,ARTCAL,Dicot,Perennial,Shrub,asteraceae,s,92.2,87,0.5997,43.4,0.63,0.06,No_Data,,,,,,,,,,
artemisia_douglasiana,artemisia_douglasiana,ARTDOU,Dicot,Perennial,Forb/herb,asteraceae,n,49.7,377.6,0.843,11.8,,0.28,UnassistedWindAdhesive,1,1,1,0,0,0,0,0,0,0
asarum_caudatum,asarum_caudatum,ASACAU,Dicot,Perennial,Forb/herb,aristolochiaceae,n,5.5,318.6,0.8599,16.1,,,Ant,0,0,0,0,1,0,0,0,0,0
asarum_hartwegii,asarum_hartwegii,ASAHAR,Dicot,Perennial,Forb/herb,aristolochiaceae,n,11.5,316.6,0.9,11.7,,9.52,Ant,0,0,0,0,1,0,0,0,0,0
asarum_marmoratum,asarum_marmoratum,ASAMAR,Dicot,Perennial,Forb/herb,aristolochiaceae,n,9.5,298.5,0.8905,13.2,,,Ant,0,0,0,0,1,0,0,0,0,0
asclepias_cordifolia,asclepias_cordifolia,ASCCOR,Dicot,Perennial,Forb/herb,asclepiadaceae,n,36.6,182.9,0.8559,10.2,,21.89,Wind,1,0,0,0,0,0,0,0,0,0
asclepias_fascicularis,asclepias_fascicularis,ASCFAS,Dicot,Perennial,Forb/herb,asclepiadaceae,n,50.8,189.3,0.8065,13.2,,5.18,Wind,1,0,0,0,0,0,0,0,0,0
asclepias_fascicularis,asclepias_fascicularis,ASCFAS,Dicot,Perennial,Forb/herb,asclepiadaceae,s,28,168.4,0.8051,51.9,,5.18,Wind,1,0,0,0,0,0,0,0,0,0
aspidotis_densa,aspidotis_densa,ASPDEN,Fern,Perennial,Forb/herb,pteridaceae,s,14.2,138.9,0.7717,20.2,,,Wind,1,0,0,0,0,0,0,0,0,0
aster_brickellioides,aster_brickellioides,ASTBRI,Dicot,,Forb/herb,asteraceae,n,31.3,632.1,0.8554,10.4,,,Wind,1,0,0,0,0,0,0,0,0,0
aster_brickellioides,aster_brickellioides,ASTBRI,Dicot,Perennial,Forb/herb,asteraceae,s,34.1,176.7,0.9788,14.9,,,Wind,1,0,0,0,0,0,0,0,0,0
aster_radulinus,aster_radulinus,ASTRAD,Dicot,,Forb/herb,asteraceae,n,21.6,204.7,0.7963,12.6,,,Wind,1,0,0,0,0,0,0,0,0,0
astragalus_breweri,astragalus_breweri,ASTBRE,Dicot,Annual,Forb/herb,fabaceae,n,16.2,192.7,0.7864,15.7,,,WindUnassistedBallistic,1,1,0,0,0,0,0,0,0,1
astragalus_breweri,astragalus_breweri,ASTBRE,Dicot,Annual,Forb/herb,fabaceae,s,6,241.7,0.8573,10.8,,,WindUnassistedBallistic,1,1,0,0,0,0,0,0,0,1
astragalus_gambelianus,astragalus_gambelianus,ASTGAM,Dicot,Annual,Forb/herb,fabaceae,n,5.2,167.8,0.6685,14.9,,0.92,WindUnassistedBallistic,1,1,0,0,0,0,0,0,0,1
astragalus_gambelianus,astragalus_gambelianus,ASTGAM,Dicot,Annual,Forb/herb,fabaceae,s,6,204.7,0.8083,12.4,,0.92,WindUnassistedBallistic,1,1,0,0,0,0,0,0,0,1
athysanus_pusillus,athysanus_pusillus,ATHPUS,Dicot,Annual,Forb/herb,brassicaceae,n,16.7,256.1,0.836,28.7,,0.18,UnassistedWind,1,1,0,0,0,0,0,0,0,0
athysanus_pusillus,athysanus_pusillus,ATHPUS,Dicot,Annual,Forb/herb,brassicaceae,s,16.5,179.3,0.8589,16.4,,0.18,UnassistedWind,1,1,0,0,0,0,0,0,0,0
avena_barbata,avena_barbata,AVEBAR,Monocot,Annual,Graminoid,poaceae,n,38,225.6,0.7095,56.8,,9,AdhesiveUnassisted,0,1,1,0,0,0,0,0,0,0
avena_barbata,avena_barbata,AVEBAR,Monocot,Annual,Graminoid,poaceae,s,35.5,135.4,0.6642,34.8,,9,AdhesiveUnassisted,0,1,1,0,0,0,0,0,0,0
avena_fatua,avena_fatua,AVEFAT,Monocot,Annual,Graminoid,poaceae,n,56.8,221.1,0.6948,33.3,,12,AdhesiveUnassisted,0,1,1,0,0,0,0,0,0,0
avena_fatua,avena_fatua,AVEFAT,Monocot,Annual,Graminoid,poaceae,s,73.1,194.1,0.6714,35.6,,12,AdhesiveUnassisted,0,1,1,0,0,0,0,0,0,0
baccharis_pilularis,baccharis_pilularis,BACPIL,Dicot,Perennial,"Subshrub, Shrub",asteraceae,n,222,104.9,0.5949,16.5,0.54,0.06,Wind,1,0,0,0,0,0,0,0,0,0
balsamorhiza_deltoidea,balsamorhiza_deltoidea,BALDEL,Dicot,Perennial,Forb/herb,asteraceae,s,28.5,163.6,0.813,12.7,,13.42,WindMammal,1,0,0,0,0,0,0,0,1,0
balsamorhiza_sericea,balsamorhiza_sericea,BALSER,Dicot,Perennial,Forb/herb,asteraceae,s,18.4,151.5,0.8485,12.6,,,WindMammal,1,0,0,0,0,0,0,0,1,0
bellardia_trixago,bellardia_trixago,BELTRI,Dicot,Annual,Forb/herb,scrophulariaceae,n,18,133.5,0.7905,23.3,,,Adhesive,0,0,1,0,0,0,0,0,0,0
bellardia_trixago,bellardia_trixago,BELTRI,Dicot,Annual,Forb/herb,scrophulariaceae,s,9.3,133.3,0.7488,37.8,,,Adhesive,0,0,1,0,0,0,0,0,0,0
berberis_aquifolium_var_aquifolium,berberis_aquifolium,BERAQUA,Dicot,Perennial,shrub,berberidaceae,n,49.4,83,0.5257,31.5,0.6,,No_Data,,,,,,,,,,
berberis_aquifolium_var_aquifolium,berberis_aquifolium,BERAQUA,Dicot,Perennial,shrub,berberidaceae,s,35.6,61.4,0.5604,35,0.5,,No_Data,,,,,,,,,,
berberis_nervosa,berberis_nervosa,BERNER,Dicot,Perennial,Shrub,berberidaceae,n,36.4,75.6,0.5004,52.1,0.45,16.5,Mammal,0,0,0,0,0,0,0,0,1,0
berberis_pumila,berberis_pumila,BERPUM,Dicot,Perennial,Shrub,berberidaceae,s,11.7,43.5,0.5065,47,0.46,,Mammal,0,0,0,0,0,0,0,0,1,0
brachypodium_distachyon,brachypodium_distachyon,BRADIS,Monocot,Annual,Graminoid,poaceae,n,28,329.8,0.6203,53.9,,4.6,Adhesive,0,0,1,0,0,0,0,0,0,0
brassica_nigra,brassica_nigra,BRANIG,Dicot,Annual,Forb/herb,brassicaceae,n,154.9,201.2,0.836,14.4,,1.3,Unassisted,0,1,0,0,0,0,0,0,0,0
brickellia_greenei,brickellia_greenei,BRIGRE,Dicot,Perennial,"Subshrub, Forb/herb",asteraceae,s,39.8,188.2,0.7364,16.3,,,Wind,1,0,0,0,0,0,0,0,0,0
briza_maxima,briza_maxima,BRIMAX,Monocot,Annual,Graminoid,poaceae,n,56.4,198.7,0.6917,32.6,,2.8,Wind,1,0,0,0,0,0,0,0,0,0
briza_maxima,briza_maxima,BRIMAX,Monocot,Annual,Graminoid,poaceae,s,57.4,197,0.6291,92.3,,2.8,Wind,1,0,0,0,0,0,0,0,0,0
briza_minor,briza_minor,BRIMIN,Monocot,Annual,Graminoid,poaceae,n,8.9,387.5,0.7962,36.8,,0.32,Wind,1,0,0,0,0,0,0,0,0,0
briza_minor,briza_minor,BRIMIN,Monocot,Annual,Graminoid,poaceae,s,15.3,378.6,0.7899,48.5,,0.32,Wind,1,0,0,0,0,0,0,0,0,0
brodiaea_elegans,brodiaea_elegans,BROELE,Monocot,Perennial,Forb/herb,liliaceae,n,17.9,118.7,0.8354,,,0.61,Unassisted,0,1,0,0,0,0,0,0,0,0
brodiaea_elegans,brodiaea_elegans,BROELE,Monocot,Perennial,Forb/herb,liliaceae,s,10.4,122.4,0.8712,40.8,,0.61,Unassisted,0,1,0,0,0,0,0,0,0,0
bromus_carinatus,bromus_carinatus,BROCAR,Monocot,"Annual, Perennial",Graminoid,poaceae,n,70.7,232.4,0.6923,31.5,,1.39,Unassisted,0,1,0,0,0,0,0,0,0,0
bromus_carinatus,bromus_carinatus,BROCAR,Monocot,"Annual, Perennial",Graminoid,poaceae,s,112.3,135.5,0.7208,19.4,,1.39,Unassisted,0,1,0,0,0,0,0,0,0,0
bromus_diandrus,bromus_diandrus,BRODIA,Monocot,"Annual, Perennial",Graminoid,poaceae,n,77.2,251.5,0.8021,17.2,,10.66,UnassistedWindAdhesive,1,1,1,0,0,0,0,0,0,0
bromus_diandrus,bromus_diandrus,BRODIA,Monocot,"Annual, Perennial",Graminoid,poaceae,s,42.6,265,0.7636,,,10.66,UnassistedWindAdhesive,1,1,1,0,0,0,0,0,0,0
bromus_hordeaceus,bromus_hordeaceus,BROHOR,Monocot,Annual,Graminoid,poaceae,n,36.7,302.5,0.7356,37.5,,1.48,UnassistedWindAdhesive,1,1,1,0,0,0,0,0,0,0
bromus_hordeaceus,bromus_hordeaceus,BROHOR,Monocot,Annual,Graminoid,poaceae,s,48.2,235.4,0.6005,66.2,,1.48,UnassistedWindAdhesive,1,1,1,0,0,0,0,0,0,0
bromus_laevipes,bromus_laevipes,BROLAE,Monocot,Perennial,Graminoid,poaceae,n,85.5,329.4,0.749,21.6,,4.51,UnassistedWindAdhesive,1,1,1,0,0,0,0,0,0,0
bromus_laevipes,bromus_laevipes,BROLAE,Monocot,Perennial,Graminoid,poaceae,s,86.2,299.5,0.7382,25.6,,4.51,UnassistedWindAdhesive,1,1,1,0,0,0,0,0,0,0
bromus_madritensis,bromus_madritensis,BROMAD,Monocot,Annual,Graminoid,poaceae,n,27.8,313.1,0.7455,36.2,,1.95,UnassistedWindAdhesive,1,1,1,0,0,0,0,0,0,0
bromus_madritensis,bromus_madritensis,BROMAD,Monocot,Annual,Graminoid,poaceae,s,19,193.2,0.6916,32.7,,1.95,UnassistedWindAdhesive,1,1,1,0,0,0,0,0,0,0
bromus_vulgaris,bromus_vulgaris,BROVUL,Monocot,Perennial,Graminoid,poaceae,n,27.7,267.6,0.7502,14.2,,5.75,Wind,1,0,0,0,0,0,0,0,0,0
